,HIF,Beta,Cluster
16,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN EPITHELIAL_HE,-0.010606308291564427,6
22,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN STROMA_HE,0.0003593805116791257,9
24,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN EPITHELIAL_HE,0.00017650154083275285,10
35,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF FIBROBLAST IN TUMOR_HE,-0.0006799152563432657,1
69,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT STANDARD DEVIATION OF CANCER IN ESI_0080_HE,0.000553170614662998,5
138,CELL CLUSTERING PROPERTIES: NUMBER OF CLUSTERS OF LYMPHOCYTE IN STROMA_HE,0.0010904948176715984,1
168,CELL CLUSTERING PROPERTIES: WITHIN CLUSTER DISPERSION STANDARD DEVIATION OF CANCER IN EPITHELIAL_HE,-0.0022117642846123404,2
188,COUNT PROP [CANCER CELLS] IN [[EPITHELIAL] OVER [ESI_0080]]_HE,0.019831603713458615,14
193,COUNT PROP [CANCER CELLS] IN [[ESI_0080] OVER [TUMOR]]_HE,0.007240538219269933,14
198,COUNT PROP [CANCER CELLS] IN [[TUMOR] OVER [ESI_0080]]_HE,0.15754937483115494,14
221,COUNT PROP [LYMPHOCYTE CELLS] IN [[TUMOR] OVER [EPITHELIAL]]_HE,-0.0018188775875091026,15
248,COUNT PROP [[CANCER CELLS] OVER [[CANCER CELLS] SELECTED BY [FIBROBLAST_RADIUS_80]]] IN [EPITHELIAL]_HE,0.025086820944815152,2
256,COUNT PROP [[CANCER CELLS] OVER [[CANCER CELLS] SELECTED BY [MACROPHAGE_RADIUS_80]]] IN [EPITHELIAL]_HE,-0.002493978124454411,8
281,COUNT PROP [[[CANCER CELLS] SELECTED BY [FIBROBLAST_RADIUS_80]] OVER [[CANCER CELLS] SELECTED BY [PLASMA_RADIUS_80]]] IN [ESI_0080]_HE,-0.0027706191807654163,10
283,COUNT PROP [[[CANCER CELLS] SELECTED BY [FIBROBLAST_RADIUS_80]] OVER [[CANCER CELLS] SELECTED BY [PLASMA_RADIUS_80]]] IN [TUMOR]_HE,-6.241314478830683e-05,10
337,DENSITY RATIO [CANCER CELLS] IN [[ESI_0080] OVER [TUMOR]]_HE,-0.0028141118535368412,14
349,DENSITY RATIO [FIBROBLAST CELLS] IN [[ESI_0080] OVER [TUMOR]]_HE,-0.009809091308588841,14
354,DENSITY RATIO [FIBROBLAST CELLS] IN [[TUMOR] OVER [ESI_0080]]_HE,-0.0026842609058270075,14
443,REGION PROPERTIES: ECCENTRICITY OF LARGEST REGION OF NECROSIS_HE,-0.6862178073223466,21
453,REGION PROPERTIES: EXTENT OF LARGEST REGION OF NECROSIS_HE,-0.5334384866685339,21
461,REGION PROPERTIES: FRACTAL DIMENSION OF EPITHELIAL_HE,-0.016187909884137226,22
462,REGION PROPERTIES: FRACTAL DIMENSION OF ESI_0080_HE,-0.021278299647283703,22
473,REGION PROPERTIES: LACUNARITY OF LARGEST REGION OF EPITHELIAL_HE,-0.03590807292671369,14
481,REGION PROPERTIES: MAJOR AXIS LENGTH (MM) OF LARGEST REGION OF EPITHELIAL_HE,0.006957835532613668,16
492,REGION PROPERTIES: NUMBER OF REGIONS OF ESI_0080_HE,0.05504518020764512,22
494,REGION PROPERTIES: NUMBER OF REGIONS OF STROMA_HE,0.0006469693806135258,22
495,REGION PROPERTIES: NUMBER OF REGIONS OF TUMOR_HE,0.009559890988602073,22
496,REGION PROPERTIES: NUMBER OF SIGNIFICANT REGIONS OF EPITHELIAL_HE,0.0654134043257629,14
507,REGION PROPERTIES: PERIMETER^2 / AREA OF ESI_0080_HE,0.05103049381155979,22
509,REGION PROPERTIES: PERIMETER^2 / AREA OF LARGEST REGION OF ESI_0080_HE,0.0652991142054184,22
514,REGION PROPERTIES: PERIMETER^2 / AREA OF SIGNIFICANT REGIONS OF EPITHELIAL_HE,0.013336407121773522,22
518,REGION PROPERTIES: PERIMETER^2 / AREA OF SIGNIFICANT REGIONS OF TUMOR_HE,0.04302539308564697,22
519,REGION PROPERTIES: PERIMETER^2 / AREA OF STROMA_HE,0.0072901589369261605,22
520,REGION PROPERTIES: PERIMETER^2 / AREA OF TUMOR_HE,0.008934268770104576,22
531,REGION PROPERTIES: STANDARD DEVIATION OF EXTENTS OF SIGNIFICANT REGIONS OF EPITHELIAL_HE,0.0042349804905028494,14
539,REGION PROPERTIES: STANDARD DEVIATION OF SOLIDITIES OF SIGNIFICANT REGIONS OF STROMA_HE,-0.004275509424508182,3
551,REGION PROPERTIES: TOTAL FILLED AREA (MM2) OF EPITHELIAL_HE,0.0007071462130866403,1
557,REGION PROPERTIES: TOTAL MAJOR AXIS LENGTH (MM) OF ESI_0080_HE,-0.006777523605305284,22
562,REGION PROPERTIES: TOTAL MINOR AXIS LENGTH (MM) OF ESI_0080_HE,0.003834689092587129,22
564,REGION PROPERTIES: TOTAL MINOR AXIS LENGTH (MM) OF STROMA_HE,0.13538173972682988,22
566,REGION PROPERTIES: TOTAL PERIMETER (MM) OF EPITHELIAL_HE,-0.07092219464811098,22
583,TOTAL [CANCER CELLS] IN [STROMA] SELECTED BY [MACROPHAGE_RADIUS_80]_HE,0.004372671981634225,1
